questions,"answers"
"Часы, накопленные в проекте исчезли ","Укажите, пожалуйста, номер вашего проекта. Рекомендуем Вам не удалять пока ни один из аккаунтов в Trello/Wekan."
"Есть ли возможность скачивать документы из Гугл-класса, не изменяя форматирование.","Вы можете скачать гугл-документ с комментариями в формате docx. Для этого нажмите на 'Файл', затем 'Скачать' и выберите Microsoft Word (DOCX). Далее запустите программу Microsoft Word на вашем компьютере и откройте скачанный файл. Комментарии будут располагаться на полях, аналогично комментариям в гугл-документах."
"Если у сайта будет хостинг на миэмовском сервере и сайт будет иметь домен .miem.hse.ru, достаточно ли этого будет, чтобы сайт считался частью цифровых сервисов миэм, или необходимо что-то еще?","Вы можете обратиться с этим вопросом к Денису Александровичу Королеву (d.korolev@gmail.com). Копию письма отправляю и Д.А.Королеву."
"Не пускает в вики.","Обратитесь в @370 канал"
"Нужна лицензия Wolfram Mathematica","Лицензии нет для домашнего использования"
"Microsoft Teams.  участники собрания не могут самостоятельно ставить запись собрания в MS Teams.","В этом году у MS Teams изменилась политика конфиденциальности. Теперь запись могут делать только организаторы собрания. К сожалению, здесь мы бессильны. "
"Не могу зайти в jitsi какой у меня логин и пароль?","Активируйте, пожалуйста, Вашу учетную запись через Google Аккаунт, а затем войдите по этим данным в Jitsi."
"При прохождении курса по КГ в смарт лмс (Smart LMS). В вопросах, которые требуют развернутого ответа происходит сбой. Пробовал прикрепить файл, ничего не меняется.","Обратитесь, пожалуйста, в техподдержку Smart LMS по почте digital@hse.ru или по телефону +7 (495) 625-50-15"
"Мой руководитель не является сотрудником МИЭМ. Паспорт заполнен и теперь хотелось бы сделать научного руководителя им уже официально (с доступом к странице проекта).","Чтобы назначить руководителя на роль руководителя в Личном кабинете МИЭМ, мы должны создать для него учетную запись в домене @miem.hse.ru. Вы сможете объяснить руководителю зачем это нужно и помочь ему активировать аккаунт miem.hse.ru?"
"Я пытался авторизоваться в Trello c почты МИЭМ, действуя по инструкции(https://wiki.miem.hse.ru/docs/miem-digital/trello/quickstart). После нажатия на кнопку “авторизоваться через Google” меня перенаправило на сайт Atlassia, где как я понял создался новый аккаунт независимо от МИЭМ. ","Откройте Trello еще раз и посмотрите, удалось ли войти в аккаунт с доменом @miem.hse.ru. Для этого нажмите на иконку профиля в правом верхнем углу. Если там указана Ваша миэмовская почта, то все в порядке. Так и должно быть."
"У меня с данной почты нет доступа к jitsi, пишет что невозможно подключиться","Используйте Вашу почту в домене @miem.hse.ru и пароль от нее, чтобы подключиться к Jitsi. Пожалуйста, сообщите, удалось ли нам решить Вашу проблему."
"Не видит доску в Wekan. с двух аккаунтов досок не видит.","Вы можете попробовать вручную пригласить студента на доску. Для этого откройте доску проекта, нажмите на три полоски в правом верхнем углу (под значком Вашего профиля) и затем на "Плюс" под надписью "Участники". Далее введите корпоративную почту студентки с доменом @edu.hse.ru."
"Зашли с разных аккаунтов, кто-то с миэмовского, кто-то с учебного в Wekan. Это не повлияет на часы? Не появятся ли неопознанные.","Часы засчитываются на тот аккаунт, который указан у студента в Личном кабинете. Если у студентов связаны аккаунты @miem.hse.ru и @edu.hse.ru, то неопознанных не появится, несмотря на то, с какой почты зайдет студент на доску."
"Как настроить почту на телефоне?","Подскажите, пожалуйста, через какое приложение Вы хотите зайти в почту?"
"Не могу войти в почту.","Вход в почту в домене @miem.hse.ru осуществляется через gmail.com"
"Нет доступа к доске пробовал зайти через ЕЛК с помощью edu.hse и miem.hse, результат один и тот же. ","Добрый день! Укажите, пожалуйста, номер Вашего проекта"
"Не могу открыть по ссылке в личном кабинете доску в wekan.","О каком проекте идет речь?"
"Руководитель проекта пригласил меня по почте в Тайгу, но при переходе по ссылке проект не добавляется.","Какой проект?"
"Мне сообщили о необходимости входа в wekan через почту miem.hse.ru, но у меня не получалось. После чего мне посоветовали связать edu и miem почту через profile.miem.hse.ru, что я и сделала. До связывания аккаунтов у меня получалось зайти на доску проекта через почту edu, теперь я захожу через почту miem, но при этом мне пишет, что 'Доска не найдена'. Сообщили, что в случае входа через почту edu - часы не будут учитываться. Что необходимо сделать для предотвращения данной проблемы? ","Чтобы часы засчитывались, нужно входить с той почты, которая указана у Вас на странице в Личном кабинете."
"Я хочу зайти в переговорную на платформу в Zulip под почтой на домене miem.hse.ru, но платформа не находит мою учетную запись, из других учетных записей я вышел и сейчас нахожусь только на домене miem. Скажите, с чем это связано?","Подскажите, пожалуйста, до этого Вы были авторизованы в Zulip? Если нет, то нажмите 'продолжить регистрацию'."
"Не получается авторизоваться в Wekan. Раньше на доску заходила через ЕЛК, сейчас войти не получается.","Попробуйте, пожалуйста, еще раз. Проблема должна решиться. Пожалуйста, сообщите, получилось ли у Вас теперь войти через ЕЛК с почты @hse.ru на доску проекта."
"Как поменять язык в Wekan","Вы можете сменить язык на русский. Для этого нажмите на иконку с Вашим ФИО в правом верхнем углу и выберите "Change Language". Далее найдите "русский" и нажмите на него."
"Как установить часы в Wekan","Чтобы установить часы за работу, откройте нужную карточку, нажмите на три полоски в правом углу карточки и выберите 'Change spent time'. Появится окошко, где Вы можете указать количество часов."
"У меня не получилось загрузить файлы в документы проекта, но я добавила ссылки на них","Cсылки тоже можно."
"Помогите, пожалуйста, с трекером Trello. Не накапливается статистика по проекту, хотя руководитель проставил на всех задачах «Выполнено».","Мы больше не используем трекер Trello. Пожалуйста, перенесите все текущие задачи в Wekan. "
"Как подключиться к защите проекта моего студента? У меня нет учетной записи @miem, только @hse.","Пожалуйста, заполните форму https://meet.miem.hse.ru/registration/. После Вам придет логин и пароль для входа в виртуальную комнату. Пожалуйста, сообщите, удалось ли нам решить Вашу проблему."
"Столкнулся с невозможностью зайти в Jitsi. Авторизовывался с данными ЕЛК ВШЭ, теперь бесконечно висит переподключение и на конференцию так попасть и не удалось.","Для входа в Jitsi нужно использовать данные от почты с доменом @miem.hse.ru."
"Мы создали доску для проекта на платформе Wekan. Как нам прикрепить эту ссылку в статистику проекта, чтобы работа по проекту отображалась в нем?","Создавать доски вручную нельзя. Нужно использовать ту, которая создается автоматически. Для этого участники должны авторизоваться через почту @hse.ru, а руководитель – через @miem.hse.ru."
"Не могу войти на вебинар. Ошибка логин-пароля","Добрый день! Убедитесь, пожалуйста, что в поле 'Логин' вы вводите свои почты  в домене @miem.hse.ru и тот пароль, который вы вводите, пароль от этой почты. Напоминаю,что при первом входе в почту, вы его изменяли. Проверьте, что вы вводите нужный пароль без лишних пробелов. Если проблема не решилась, то смените браузер. Мы рекомендуем использовать Google Chrome или Firefox. Если проблема не решилась после смены браузера, то отключите антивирус и vpn. Убедитесь, что расширения с vpn тоже выключены. Пожалуйста, сообщите, удалось ли нам решить Вашу проблему."
"У меня не получается выйти на занятие. Указывает что логи и пароль не верный.","Добрый день! Убедитесь, пожалуйста, что в поле 'Логин' вы вводите свои почты  в домене @miem.hse.ru и тот пароль, который вы вводите, пароль от этой почты. Напоминаю,что при первом входе в почту, вы его изменяли. Проверьте, что вы вводите нужный пароль без лишних пробелов. Если проблема не решилась, то смените браузер. Мы рекомендуем использовать Google Chrome или Firefox. Если проблема не решилась после смены браузера, то отключите антивирус и vpn. Убедитесь, что расширения с vpn тоже выключены. Пожалуйста, сообщите, удалось ли нам решить Вашу проблему. Пробовали выполнить рекомендации?"
"В нашем проекте не отображается доска в системе Wekan, вследствие чего мы не можем создавать карточки о выполнении проекта. Авторизацию мы проходили.","Именно Вам нужно авторизоваться через @miem.hse.ru. Остальным участникам проекта – через ЕЛК с почты @edu.hse.ru После этого система добавит Вас на доску в течении суток."\
"Не могу в своих проектах в Wekan  добавлять исполнителей. Не понимаю, почему, что еще надо сделать?","Участники добавляются на доску проекта автоматически в течении суток после того, как участники авторизовались в Wekan с той почты, которая указана на их странице в Личном кабинете. Пожалуйста, сообщите, удалось ли нам решить Вашу проблему."
